dataset,embedding_label,embedding,holdout_cell_type,method_name,method_role,score_method,score_family,n_split_seeds,known_accuracy_mean,unknown_auroc_mean,unknown_auprc_mean,unknown_recall_at_val95_mean,known_coverage_at_val95_mean,accepted_known_accuracy_at_val95_mean,delta_known_accuracy_mean_vs_pca,delta_unknown_auroc_mean_vs_pca,delta_unknown_auprc_mean_vs_pca,delta_unknown_recall_at_val95_mean_vs_pca,delta_known_coverage_at_val95_mean_vs_pca,delta_accepted_known_accuracy_at_val95_mean_vs_pca
zheng68k,PCA50,zheng68k_pca50.npy,CD56+ NK,MLP max probability,closed-set confidence baseline,mlp_maxprob,mlp,5,0.6583115752828547,0.15905007361516252,0.2765261072554711,0.00117233294255564,0.944473455178416,0.676536290616097,,,,,,
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,CD56+ NK,MLP max probability,closed-set confidence baseline,mlp_maxprob,mlp,5,0.6976501305483029,0.1249838536389765,0.2849544039396099,0.0002344665885111,0.9476066144473456,0.7197569341445711,0.03933855526544827,-0.034066219976186016,0.008428296684138803,-0.00093786635404454,0.003133159268929653,0.0432206435284741
zheng68k,PCA50,zheng68k_pca50.npy,CD56+ NK,Raw prototype distance,uncalibrated prototype baseline,proto_1_minus_max_cosine,prototype,5,0.5185378590078329,0.710529876124506,0.6133272293375149,0.1622508792497069,0.9486510008703221,0.5259715954248755,,,,,,
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,CD56+ NK,Raw prototype distance,uncalibrated prototype baseline,proto_1_minus_max_cosine,prototype,5,0.6081810269799826,0.8878976264594218,0.785359560948272,0.3819460726846424,0.9559617058311576,0.6194294619533517,0.08964316797214966,0.1773677503349158,0.17203233161075704,0.21969519343493552,0.0073107049608355235,0.09345786652847621
zheng68k,PCA50,zheng68k_pca50.npy,CD56+ NK,CalibscAnno-v0 (class-z prototype),main method,proto_class_z,prototype,5,0.5185378590078329,0.7043219191569814,0.6491767938999699,0.2096131301289566,0.9514360313315926,0.5439237695379875,,,,,,
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,CD56+ NK,CalibscAnno-v0 (class-z prototype),main method,proto_class_z,prototype,5,0.6081810269799826,0.6732109168786355,0.6014777654287041,0.1667057444314185,0.9510879025239338,0.6235089185089879,0.08964316797214966,-0.031111002278345845,-0.047699028471265725,-0.0429073856975381,-0.0003481288076587763,0.07958514897100044
zheng68k,PCA50,zheng68k_pca50.npy,Dendritic,Diagonal Mahalanobis,strong statistical-distance baseline,mahalanobis_diag_min,mahalanobis,5,0.6263856362217017,0.7857927521185929,0.503014185325575,0.4577319587628866,0.9397345823575332,0.6289952272444461,,,,,,
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,Dendritic,Diagonal Mahalanobis,strong statistical-distance baseline,mahalanobis_diag_min,mahalanobis,5,0.623575331772053,0.7936840580409956,0.5850531192522684,0.5628865979381443,0.95487900078064,0.6270734372317144,-0.002810304449648693,0.007891305922402725,0.08203893392669348,0.10515463917525775,0.015144418423106876,-0.0019217900127317389
zheng68k,PCA50,zheng68k_pca50.npy,Dendritic,MLP max probability,closed-set confidence baseline,mlp_maxprob,mlp,5,0.6746291959406714,0.48584425827116384,0.19429867774549164,0.12268041237113399,0.955503512880562,0.6915632384007429,,,,,,
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,Dendritic,MLP max probability,closed-set confidence baseline,mlp_maxprob,mlp,5,0.7147540983606557,0.3486608400331571,0.106668001120843,0.0278350515463917,0.9558157689305228,0.7344115661920421,0.04012490241998434,-0.13718341823800673,-0.08763067662464864,-0.09484536082474229,0.0003122560499607685,0.04284832779129921
zheng68k,PCA50,zheng68k_pca50.npy,Dendritic,Raw prototype distance,uncalibrated prototype baseline,proto_1_minus_max_cosine,prototype,5,0.5478532396565183,0.24077275324528996,0.08170565520848225,0.00618556701030924,0.9530054644808743,0.55939514157234,,,,,,
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,Dendritic,Raw prototype distance,uncalibrated prototype baseline,proto_1_minus_max_cosine,prototype,5,0.6126463700234192,0.5204600143251488,0.1560184607159472,0.0288659793814433,0.952224824355972,0.6199208679270904,0.06479313036690082,0.2796872610798588,0.07431280550746494,0.02268041237113406,-0.0007806401249023098,0.0605257263547504
zheng68k,PCA50,zheng68k_pca50.npy,Dendritic,CalibscAnno-v0 (class-z prototype),main method,proto_class_z,prototype,5,0.5478532396565183,0.7982954682633574,0.37775015851541643,0.2587628865979381,0.9495706479313037,0.5745511016355922,,,,,,
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,Dendritic,CalibscAnno-v0 (class-z prototype),main method,proto_class_z,prototype,5,0.6126463700234192,0.7882437206756963,0.5029241213555076,0.4422680412371134,0.9537861046057768,0.6246108516013498,0.06479313036690082,-0.010051747587661142,0.12517396284009114,0.18350515463917527,0.004215456674473095,0.05005974996575757
