dataset,embedding,mode,classifier,split,holdout_cell_type,accuracy,macro_f1,weighted_f1,balanced_accuracy,known_accuracy,known_macro_f1,known_weighted_f1,unknown_auroc,unknown_auprc,n_train,n_test,n_known_test,n_unknown_test,runtime_seconds,fit_seconds,predict_seconds,peak_memory_mb,seed,source_file,started_at_utc,finished_at_utc,python_version,platform,pid
zheng68k,zheng68k_pca50.npy,closed,mlp,closed_set_seed42.npz,,0.6606060606060606,0.5067128999803322,0.6505660529730701,0.489453299450796,,,,,,4616,1320,,,0.3174063749902416,0.3129053750017192,0.0023412499867845,144.171875,42,zheng68k_closed_mlp_closed_set_seed42.csv,2026-04-25T05:01:32+00:00,2026-04-25T05:01:32+00:00,3.11.0,macOS-15.3-arm64-arm-64bit,78189
zheng68k,zheng68k_pca50.npy,closed,prototype,closed_set_seed42.npz,,0.5431818181818182,0.4762670340498136,0.5910846413636447,0.5838844256927398,,,,,,4616,1320,,,0.0086357500113081,0.0046647499839309,0.0025247079902328,140.046875,42,zheng68k_closed_prototype_closed_set_seed42.csv,2026-04-25T05:01:32+00:00,2026-04-25T05:01:32+00:00,3.11.0,macOS-15.3-arm64-arm-64bit,78196
zheng68k,zheng68k_pca50.npy,open,mlp,open_set_holdout_CD19plus_B_seed42.npz,CD19+ B,,,,,0.6804635761589404,0.4457412365980029,0.658741671501974,0.6085164020033706,0.3549505482471498,4225,1766,1208.0,558.0,0.2268844170030206,0.2230885000026319,0.0034444580087438,145.4375,42,zheng68k_open_mlp_open_set_holdout_CD19plus_B_seed42.csv,2026-04-25T05:01:45+00:00,2026-04-25T05:01:46+00:00,3.11.0,macOS-15.3-arm64-arm-64bit,78292
zheng68k,zheng68k_pca50.npy,open,prototype,open_set_holdout_CD19plus_B_seed42.npz,CD19+ B,,,,,0.5480132450331126,0.4526725052291243,0.5927132343949109,0.6781462887797004,0.4770119723292098,4225,1766,1208.0,558.0,0.0071732910000719,0.0045302090002223,0.0028983750089537,139.890625,42,zheng68k_open_prototype_open_set_holdout_CD19plus_B_seed42.csv,2026-04-25T05:01:45+00:00,2026-04-25T05:01:45+00:00,3.11.0,macOS-15.3-arm64-arm-64bit,78293
zheng68k,zheng68k_pca50.npy,open,mlp,open_set_holdout_CD56plus_NK_seed42.npz,CD56+ NK,,,,,0.6666666666666666,0.4826029048011162,0.6508104796585085,0.2187115152887928,0.2882871402904844,4019,2002,1149.0,853.0,0.2174119999981485,0.2144047500041779,0.0037063329946249,144.96875,42,zheng68k_open_mlp_open_set_holdout_CD56plus_NK_seed42.csv,2026-04-25T05:01:32+00:00,2026-04-25T05:01:32+00:00,3.11.0,macOS-15.3-arm64-arm-64bit,78204
zheng68k,zheng68k_pca50.npy,open,prototype,open_set_holdout_CD56plus_NK_seed42.npz,CD56+ NK,,,,,0.5143603133159269,0.4424884789543107,0.5800007745191732,0.7220683258901925,0.6219824355922287,4019,2002,1149.0,853.0,0.0103743329818826,0.0055243749811779,0.0037710839824285,140.953125,42,zheng68k_open_prototype_open_set_holdout_CD56plus_NK_seed42.csv,2026-04-25T05:01:32+00:00,2026-04-25T05:01:32+00:00,3.11.0,macOS-15.3-arm64-arm-64bit,78200
zheng68k,zheng68k_pca50.npy,open,mlp,open_set_holdout_Dendritic_seed42.npz,Dendritic,,,,,0.6713505074160812,0.4973639821937282,0.6548176990912803,0.4687522634539703,0.1817948543536752,4480,1475,1281.0,194.0,0.2622218339820392,0.2584851669962518,0.0029687090136576,144.984375,42,zheng68k_open_mlp_open_set_holdout_Dendritic_seed42.csv,2026-04-25T05:01:45+00:00,2026-04-25T05:01:46+00:00,3.11.0,macOS-15.3-arm64-arm-64bit,78322
zheng68k,zheng68k_pca50.npy,open,prototype,open_set_holdout_Dendritic_seed42.npz,Dendritic,,,,,0.5284933645589384,0.4688253915771181,0.5755134632001947,0.2133280217613494,0.0794930432660403,4480,1475,1281.0,194.0,0.0079578329750802,0.0048847080033738,0.0028904160135425,140.8125,42,zheng68k_open_prototype_open_set_holdout_Dendritic_seed42.csv,2026-04-25T05:01:45+00:00,2026-04-25T05:01:45+00:00,3.11.0,macOS-15.3-arm64-arm-64bit,78323
