dataset,embedding_label,embedding,holdout_cell_type,score_method,method_label,target_known_coverage,target_known_coverage_label,known_coverage_mean,known_coverage_std,unknown_recall_mean,unknown_recall_std,accepted_known_accuracy_mean,accepted_known_accuracy_std,n_split_seeds
zheng68k,PCA50,zheng68k_pca50.npy,CD56+ NK,proto_1_minus_max_cosine,Raw prototype,0.95,95%,0.948651000870322,0.0075372097805433,0.1622508792497069,0.0305324656632726,0.5259715954248755,0.0134852837898308,5
zheng68k,PCA50,zheng68k_pca50.npy,CD56+ NK,proto_1_minus_max_cosine,Raw prototype,0.9,90%,0.9000870322019147,0.0139848589436063,0.271981242672919,0.0301975307676231,0.5354626063552038,0.0120348971285267,5
zheng68k,PCA50,zheng68k_pca50.npy,CD56+ NK,proto_1_minus_max_cosine,Raw prototype,0.8,80%,0.7876414273281114,0.016604685838415,0.4403282532239155,0.0520771881297327,0.5546634559315383,0.0106493586443863,5
zheng68k,PCA50,zheng68k_pca50.npy,CD56+ NK,proto_class_z,Class-z prototype,0.95,95%,0.9514360313315926,0.014279647903912,0.2096131301289566,0.0367877255469781,0.5439237695379875,0.0111374168095191,5
zheng68k,PCA50,zheng68k_pca50.npy,CD56+ NK,proto_class_z,Class-z prototype,0.9,90%,0.8997389033942559,0.0182290396056204,0.4016412661195779,0.0249186254404478,0.5703442858106967,0.0095810476659662,5
zheng68k,PCA50,zheng68k_pca50.npy,CD56+ NK,proto_class_z,Class-z prototype,0.8,80%,0.793733681462141,0.0202898924749778,0.492379835873388,0.0170492843754384,0.6147463766520016,0.0100956983496748,5
zheng68k,PCA50,zheng68k_pca50.npy,CD56+ NK,mahalanobis_diag_min,Diag. Mahalanobis,0.95,95%,0.9483028720626632,0.0136310322533954,0.3498241500586166,0.0246273641767693,0.6023382229919714,0.0130783094892696,5
zheng68k,PCA50,zheng68k_pca50.npy,CD56+ NK,mahalanobis_diag_min,Diag. Mahalanobis,0.9,90%,0.8978241949521323,0.0121315522100629,0.497538100820633,0.0121436944080455,0.5997664279282791,0.0120327927380996,5
zheng68k,PCA50,zheng68k_pca50.npy,CD56+ NK,mahalanobis_diag_min,Diag. Mahalanobis,0.8,80%,0.8008703220191471,0.0250993989734633,0.6438452520515827,0.0168138866253761,0.6026620333439221,0.0123196503683264,5
zheng68k,PCA50,zheng68k_pca50.npy,Dendritic,mlp_maxprob,MLP maxprob,0.95,95%,0.955503512880562,0.0116312758983226,0.1226804123711339,0.0651404460594809,0.6915632384007429,0.0113113114160796,5
zheng68k,PCA50,zheng68k_pca50.npy,Dendritic,mlp_maxprob,MLP maxprob,0.9,90%,0.9049180327868852,0.0096148754021559,0.1690721649484535,0.070620437931147,0.7098654731518433,0.0111878604905739,5
zheng68k,PCA50,zheng68k_pca50.npy,Dendritic,mlp_maxprob,MLP maxprob,0.8,80%,0.8140515222482435,0.0118954801866044,0.2608247422680412,0.0611645236049126,0.7431282603595127,0.0114940072483491,5
zheng68k,PCA50,zheng68k_pca50.npy,Dendritic,proto_1_minus_max_cosine,Raw prototype,0.95,95%,0.9530054644808744,0.0119593455666025,0.0061855670103092,0.0043126805491446,0.55939514157234,0.0111714264763545,5
zheng68k,PCA50,zheng68k_pca50.npy,Dendritic,proto_1_minus_max_cosine,Raw prototype,0.9,90%,0.9072599531615924,0.0137711644472755,0.0082474226804123,0.0028233121520884,0.5673248178421388,0.012023749912729,5
zheng68k,PCA50,zheng68k_pca50.npy,Dendritic,proto_1_minus_max_cosine,Raw prototype,0.8,80%,0.804527712724434,0.0196141171508895,0.0237113402061855,0.0118668705497127,0.5898136023450122,0.0172077051318107,5
zheng68k,PCA50,zheng68k_pca50.npy,Dendritic,proto_class_z,Class-z prototype,0.95,95%,0.9495706479313036,0.0084366938867173,0.2587628865979381,0.1210736853467838,0.5745511016355922,0.0123509895113192,5
zheng68k,PCA50,zheng68k_pca50.npy,Dendritic,proto_class_z,Class-z prototype,0.9,90%,0.9061670569867292,0.0122736886851107,0.411340206185567,0.0943031340548709,0.5946312070327359,0.0117494068750501,5
zheng68k,PCA50,zheng68k_pca50.npy,Dendritic,proto_class_z,Class-z prototype,0.8,80%,0.8,0.0231140673041232,0.6762886597938145,0.03465512642056,0.6243072847814537,0.0135441719183602,5
zheng68k,PCA50,zheng68k_pca50.npy,Dendritic,mahalanobis_diag_min,Diag. Mahalanobis,0.95,95%,0.9397345823575332,0.0091271487294701,0.4577319587628866,0.0359718480873564,0.6289952272444461,0.0026120750714753,5
zheng68k,PCA50,zheng68k_pca50.npy,Dendritic,mahalanobis_diag_min,Diag. Mahalanobis,0.9,90%,0.8896174863387978,0.0154913307373673,0.5268041237113402,0.0381234269837125,0.6293161223315222,0.0032116136708261,5
zheng68k,PCA50,zheng68k_pca50.npy,Dendritic,mahalanobis_diag_min,Diag. Mahalanobis,0.8,80%,0.8001561280249805,0.0249987735544198,0.6319587628865979,0.0232244955176676,0.62866666457993,0.0042744704261105,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,Average across holdouts,mlp_maxprob,MLP maxprob,0.95,95%,0.9499818540619386,0.006908320989218667,0.06622627904377286,0.0494912048959227,0.7279844219150705,0.011338871170950733,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,Average across holdouts,mlp_maxprob,MLP maxprob,0.9,90%,0.9006073439923674,0.011689343275513265,0.10578022562871509,0.05820109616556926,0.7465923561886233,0.011259177181536533,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,Average across holdouts,mlp_maxprob,MLP maxprob,0.8,80%,0.7957666354053364,0.016948303386872064,0.1715576092644293,0.06983742960577981,0.7821918179167824,0.008127829249712601,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,Average across holdouts,proto_1_minus_max_cosine,Raw prototype,0.95,95%,0.9525632804818026,0.011718899566826166,0.30097558246886247,0.07333232031527206,0.6130454121530154,0.013954519139087301,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,Average across holdouts,proto_1_minus_max_cosine,Raw prototype,0.9,90%,0.9044336057900058,0.012182558214660367,0.4351669270912412,0.04510986674396186,0.6156562081438522,0.015677279588556366,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,Average across holdouts,proto_1_minus_max_cosine,Raw prototype,0.8,80%,0.8062503531179592,0.01693627495182633,0.6411757323023376,0.025960947130165335,0.6156361855883689,0.016830042004343633,5
